Id,Center of Mass (Geometry): X (px),Center of Mass (Geometry): Y (px),Center of Mass (Geometry): Z (px)
0,6438.5,6239.5,2239.5
1,6438.5,6239.5,2239.5
2,14546.5,4075.5,2790.5
3,5041.5,5382.5,2877.5
4,8342.5,6076.5,5263.5
5,10015.5,3725.5,1820.5
6,13750.5,9434.5,2810.5
7,9867.5,7010.5,2629.5
8,10172.5,4549.5,1444.5
9,10184.5,4806.5,1312.5
10,11453.5,9904.5,2747.5
11,8775.5,7976.5,1169.5
12,8091.5,7885.5,3525.5
13,9456.5,7670.5,3262.5
14,9011.5,7527.5,3299.5
15,8325.5,7919.5,3525.5
16,8239.5,7890.5,3491.5
17,7587.5,5649.5,3797.5
18,8253.5,7954.5,3567.5
19,8372.5,8149.5,3531.5
20,8372.5,8216.5,3546.5
21,8537.5,7928.5,3541.5
22,6632.5,7677.5,3422.5
23,8325.5,7976.5,3544.5
24,7933.5,4809.5,3823.5
25,8357.5,8306.5,3479.5
26,6435.5,6859.5,4619.5
27,8827.5,8042.5,3491.5
28,6950.5,7683.5,4266.5
29,8398.5,7840.5,3512.5
30,8349.5,7948.5,3534.5
31,1684.5,4225.5,3089.5
32,8231.5,7941.5,3510.5
33,11898.5,5322.5,3437.5
34,7223.5,7596.5,3356.5
35,13367.5,7041.5,1670.5
36,13056.5,5723.5,1704.5
37,13190.5,3727.5,2421.5
38,10978.5,6137.5,4511.5
39,10492.5,6415.5,4901.5
40,12034.5,6895.5,4877.5
41,13179.5,2888.5,3306.5
42,12116.5,6613.5,5126.5
43,10185.5,7344.5,5504.5
44,11827.5,6189.5,5744.5
45,11684.5,6970.5,1246.5
46,10260.5,7271.5,5383.5
47,8129.5,6370.5,1504.5
48,7704.5,6696.5,1481.5
49,3378.5,6268.5,1429.5
50,12797.5,9866.5,3381.5
51,10273.5,7644.5,3335.5
52,8785.5,7544.5,1601.5
53,10487.5,4157.5,2250.5
54,10618.5,4344.5,2233.5
55,9090.5,2361.5,2495.5
56,8621.5,6132.5,2906.5
57,11899.5,5022.5,4326.5
58,13779.5,6091.5,4354.5
59,13298.5,6045.5,4439.5
60,9162.5,4165.5,5736.5
61,7589.5,3464.5,5413.5
